id;descripcion;codigo_telefono;timezone;dst;estado
1;Afganistán;93;UTC+04:30;;1
2;Islas Aland;+358 18;UTC+02:00;UTC+03:00;1
3;Albania;355;UTC+01:00;UTC+02:00;1
4;Algeria;213;UTC+01:00;;1
5;Samoa Americana;+1 684;UTC-11:00;;1
6;Andorra;376;UTC+01:00;UTC+02:00;1
7;Angola;244;UTC+01:00;;1
8;Anguilla;+1 264;UTC-04:00;;1
9;Antigua y Barbuda;+1 268;UTC-04:00;;1
10;Argentina;54;UTC-03:00;;1
11;Armenia;374;UTC+04:00;;1
12;Aruba;297;UTC-04:00;;1
13;Isla Ascensión;247;UTC+00:00;;1
14;Australia;61;UTC+08:00 to +10:30;UTC+08:00 to +11:00;1
15;Territorio Antártico Australiano;+672 1;;;1
16;Austria;43;UTC+01:00;UTC+02:00;1
17;Azerbaiyán;994;UTC+04:00;;1
18;Bahamas;+1 242;UTC-05:00;UTC-04:00;1
19;Baréin;973;UTC+03:00;;1
20;Bangladesh;880;UTC+06:00;;1
21;Barbados;+1 246;UTC-04:00;;1
22;Barbuda;+1 268;UTC-04:00;;1
23;Bielorrusia;375;UTC+03:00;;1
24;Bélgica ;32;UTC+01:00;UTC+02:00;1
25;Belice;501;UTC-06:00;;1
26;Benín;229;UTC+01:00;;1
27;Islas Bermudas;+1 441;UTC-04:00;UTC-03:00;1
28;Bután;975;UTC+06:00;;1
29;Bolivia;591;UTC-04:00;;1
30;Bonaire;+599 7;UTC-04:00;;1
31;Bosnia-Herzegovina;387;UTC+01:00;UTC+02:00;1
32;Botsuana;267;UTC+02:00;;1
33;Brasil;55;UTC-05:00 to -02:00;UTC-05:00 to -02:00;1
34;Territorio Británico del Océano Índico;246;UTC+06:00;;1
35;Islas Vírgenes Británicas;+1 284;UTC-04:00;;1
36;Brunéi;673;UTC+08:00;;1
37;Bulgaria;359;UTC+02:00;UTC+03:00;1
38;Burkina Faso;226;UTC+00:00;;1
39;Burundi;257;UTC+02:00;;1
40;Cabo Verde;238;UTC-01:00;;1
41;Camboya;855;UTC+07:00;;1
42;Camerún;237;UTC+01:00;;1
43;Canadá;1;UTC-08:00 to -03:30;UTC-07:00 to -02:30;1
44;Caribe Neerlandés;+599 3, +599 4, +599 7;UTC-04:00;;1
45;Islas Caimán;+1 345;UTC-05:00;;1
46;República Centroafricana;236;UTC+01:00;;1
47;Chad;235;UTC+01:00;;1
48;Isla Chatham;64;UTC+12:00;UTC+13:00;1
49;Chile;56;UTC-06:00 to -04:00;UTC-05:00 to -03:00;1
50;China;86;UTC+08:00;;1
51;Isla de Navidad;+61 89164;UTC+07:00;;1
52;Islas Keeling;+61 89162;UTC+06:30;;1
53;Colombia;57;UTC-05:00;;1
54;Comoras;269;UTC+03:00;;1
55;República del Congo;242;UTC+01:00;;1
56;República Democrática del Congo;243;UTC+01:00 to +02:00;;1
57;Islas Cook;682;UTC-10:00;;1
58;Costa Rica;506;UTC-06:00;;1
59;Costa de Marfil;225;UTC+00:00;;1
60;Croacia;385;UTC+01:00;UTC+02:00;1
61;Cuba;53;UTC-05:00;UTC-04:00;1
62;Curazao;+599 9;UTC-04:00;;1
63;Chipre;357;UTC+02:00;UTC+03:00;1
64;República Checa;420;UTC+01:00;UTC+02:00;1
65;Dinamarca;45;UTC+01:00;UTC+02:00;1
66;Diego García;246;UTC+06:00;;1
67;Yibuti;253;UTC+02:00;;1
68;Dominica;+1 767;UTC-04:00;;1
69;República Dominicana;+1 809, +1 829, +1 849;UTC-04:00;;1
70;Timor Oriental;670;UTC+09:00;;1
71;Isla de Pascua;56;UTC-06:00;UTC-05:00;1
72;Ecuador;593;UTC-06:00 to -05:00;;1
73;Egipto;20;UTC+02:00;;1
74;El Salvador;503;UTC-06:00;;1
75;Guinea Ecuatorial;240;UTC+01:00;;1
76;Eritrea;291;UTC+03:00;;1
77;Estonia;372;UTC+02:00;UTC+03:00;1
78;Etiopía;251;UTC+03:00;;1
79;Islas Malvinas;500;UTC-03:00;;1
80;Islas Feroe;298;UTC+00:00;UTC+01:00;1
81;Fiji;679;UTC+12:00;UTC+13:00;1
82;Finlandia;358;UTC+02:00;UTC+03:00;1
83;Francia;33;UTC+01:00;UTC+02:00;1
84;Guayana Francesa;594;UTC-03:00;;1
85;Polinesia Francesa;689;UTC-10:00 to -09:00;;1
86;Gabón;241;UTC+01:00;;1
87;Gambia;220;UTC+00:00;;1
88;Georgia;995;UTC+04:00;;1
89;Alemania;49;UTC+01:00;UTC+02:00;1
90;Ghana;233;UTC+00:00;;1
91;Gibraltar;350;UTC+01:00;UTC+02:00;1
92;Grecia;30;UTC+02:00;UTC+03:00;1
93;Groenlandia;299;UTC-04:00 to +00:00;;1
94;Granada;+1 473;UTC-04:00;;1
95;Guadalupe (Francia);590;UTC-04:00;;1
96;Guam;+1 671;UTC+10:00;;1
97;Guatemala;502;UTC-06:00;;1
98;Bailía de Guernsey;+44 1481, +44 7781, +44 7839, +44 7911;UTC+01:00;;1
99;Guinea;224;UTC+00:00;;1
100;Guinea-Bisáu;245;UTC+00:00;;1
101;Guyana;592;UTC-04:00;;1
102;Haiti;509;UTC-05:00;UTC-04:00;1
103;Honduras;504;UTC-06:00;;1
104;Hong Kong;852;UTC+08:00;;1
105;Hungría;36;UTC+01:00;UTC+02:00;1
106;Islandia;354;UTC+00:00;;1
107;India;91;UTC+05:30;;1
108;Indonesia;62;UTC+07:00 to +09:00;;1
109;Irán;98;UTC+03:30;UTC+04:30;1
110;Irak;964;UTC+03:00;;1
111;Irlanda;353;UTC+00:00;UTC+01:00;1
112;Isla de Man;+44 1624, +44 7524, +44 7624, +44 7924;UTC+00:00;UTC+01:00;1
113;Israel;972;UTC+02:00;UTC+03:00;1
114;Italia;39;UTC+01:00;UTC+02:00;1
115;Jamaica;+1 876;UTC-05:00;;1
116;Jan Mayen;+47 79;;;1
117;Japón;81;UTC+09:00;;1
118;Jersey;+44 1534;UTC+00:00;UTC+01:00;1
119;Jordania;962;UTC+02:00;;1
120;Kazajistán;+7 6, +7 7[notes 2];UTC+05:00 to +06:00;;1
121;Kenia;254;UTC+03:00;;1
122;Kiribati;686;UTC+12:00 to +14:00;;1
123;Corea del Norte;850;UTC+09:00;;1
124;Corea del Sur;82;UTC+09:00;;1
125;República de Kosovo;383;UTC+01:00;UTC+02:00;1
126;Kuwait;965;UTC+03:00;;1
127;Kirguistán;996;UTC+05:00 to +06:00;;1
128;Laos;856;UTC+07:00;;1
129;Letonia;371;UTC+02:00;UTC+03:00;1
130;Líbano;961;UTC+02:00;UTC+03:00;1
131;Lesoto;266;UTC+02:00;;1
132;Liberia;231;UTC+00:00;;1
133;Libia;218;UTC+02:00;;1
134;Liechtenstein;423;UTC+01:00;UTC+02:00;1
135;Lituania;370;UTC+02:00;UTC+03:00;1
136;Luxemburgo;352;UTC+01:00;UTC+02:00;1
137;Macao;853;UTC+08:00;;1
138;República de Macedonia;389;UTC+01:00;UTC+02:00;1
139;Madagascar;261;UTC+03:00;;1
140;Malaui;265;UTC+02:00;;1
141;Malasia;60;UTC+08:00;;1
142;Maldivas;960;UTC+05:00;;1
143;Malí;223;UTC+00:00;;1
144;Malta;356;UTC+01:00;UTC+02:00;1
145;Islas Marshall;692;UTC+12:00;;1
146;Martinica;596;UTC-04:00;;1
147;Mauritania;222;UTC+00:00;;1
148;Mauricio;230;UTC+04:00;;1
149;Mayotte;+262 269, +262 639;UTC+03:00;;1
150;México;52;UTC-08:00 to -06:00;UTC-07:00 to -05:00;1
151;Estados Federados de Micronesia;691;UTC+10:00 to +11:00;;1
152;Islas Midway;+1 808;UTC-11:00;;1
153;Moldavia;373;UTC+02:00;UTC+03:00;1
154;Mónaco;377;UTC+01:00;UTC+02:00;1
155;Mongolia;976;UTC+07:00 to +08:00;UTC+08:00 to +09:00;1
156;Montenegro;382;UTC+01:00;UTC+02:00;1
157;Montserrat;+1 664;UTC-04:00;;1
158;Marruecos;212;UTC+01:00;;1
159;Mozambique;258;UTC+02:00;;1
160;Birmania;95;UTC+06:30;;1
161;Alto Karabaj;+374 47, +374 97;UTC+04:00;;1
162;Namibia;264;UTC+02:00;;1
163;Nauru;674;UTC+12:00;;1
164;Nepal;977;UTC+05:45;;1
165;Países Bajos;31;CET(UTC+01:00) / AST(UTC-04:00);CET(UTC+02:00) / AST(UTC-04:00);1
166;Isla Nieves;+1 869;UTC-04:00;;1
167;Nueva Caledonia;687;UTC+11:00;;1
168;Nueva Zelanda;64;UTC+12:00;UTC+13:00;1
169;Nicaragua;505;UTC-06:00;;1
170;Níger;227;UTC+01:00;;1
171;Nigeria;234;UTC+01:00;;1
172;Niue;683;UTC-11:00;;1
173;Isla Norfolk;+672 3;UTC+11:00;;1
174;Chipre del Norte;+90 392;UTC+02:00;UTC+03:00;1
175;Irlanda del Norte;+44 28;UTC+00:00;UTC+01:00;1
176;Islas Marianas del Norte;+1 670;UTC+10:00;;1
177;Noruega;47;UTC+01:00;UTC+02:00;1
178;Omán;968;UTC+04:00;;1
179;Pakistán;92;UTC+05:00;UTC+06:00;1
180;Palaos;680;UTC+09:00;;1
181;Estado de Palestina;970;UTC+02:00;UTC+03:00;1
182;Panamá;507;UTC-05:00;;1
183;Papúa Nueva Guinea;675;UTC+10:00;;1
184;Paraguay;595;UTC-04:00;UTC-03:00;1
185;Perú;51;UTC-05:00;;1
186;Filipinas;63;UTC+08:00;;1
187;Islas Pitcairn;64;UTC-08:00;;1
188;Polonia;48;UTC+01:00;UTC+02:00;1
189;Portugal;351;UTC+00:00;UTC+01:00;1
