id;descripcion;estado
1;Africa/Abidjan;1
2;Africa/Accra;1
3;Africa/Addis_Ababa;1
4;Africa/Algiers;1
5;Africa/Asmara;1
6;Africa/Bamako;1
7;Africa/Bangui;1
8;Africa/Banjul;1
9;Africa/Bissau;1
10;Africa/Blantyre;1
11;Africa/Brazzaville;1
12;Africa/Bujumbura;1
13;Africa/Cairo;1
14;Africa/Casablanca;1
15;Africa/Ceuta;1
16;Africa/Conakry;1
17;Africa/Dakar;1
18;Africa/Dar_es_Salaam;1
19;Africa/Djibouti;1
20;Africa/Douala;1
21;Africa/El_Aaiun;1
22;Africa/Freetown;1
23;Africa/Gaborone;1
24;Africa/Harare;1
25;Africa/Johannesburg;1
26;Africa/Juba;1
27;Africa/Kampala;1
28;Africa/Khartoum;1
29;Africa/Kigali;1
30;Africa/Kinshasa;1
31;Africa/Lagos;1
32;Africa/Libreville;1
33;Africa/Lome;1
34;Africa/Luanda;1
35;Africa/Lubumbashi;1
36;Africa/Lusaka;1
37;Africa/Malabo;1
38;Africa/Maputo;1
39;Africa/Maseru;1
40;Africa/Mbabane;1
41;Africa/Mogadishu;1
42;Africa/Monrovia;1
43;Africa/Nairobi;1
44;Africa/Ndjamena;1
45;Africa/Niamey;1
46;Africa/Nouakchott;1
47;Africa/Ouagadougou;1
48;Africa/Porto-Novo;1
49;Africa/Sao_Tome;1
50;Africa/Tripoli;1
51;Africa/Tunis;1
52;Africa/Windhoek;1
53;America/Adak;1
54;America/Anchorage;1
55;America/Anguilla;1
56;America/Antigua;1
57;America/Araguaina;1
58;America/Argentina/Buenos_Aires;1
59;America/Argentina/Catamarca;1
60;America/Argentina/Cordoba;1
61;America/Argentina/Jujuy;1
62;America/Argentina/La_Rioja;1
63;America/Argentina/Mendoza;1
64;America/Argentina/Rio_Gallegos;1
65;America/Argentina/Salta;1
66;America/Argentina/San_Juan;1
67;America/Argentina/San_Luis;1
68;America/Argentina/Tucuman;1
69;America/Argentina/Ushuaia;1
70;America/Aruba;1
71;America/Asuncion;1
72;America/Atikokan;1
73;America/Bahia;1
74;America/Bahia_Banderas;1
75;America/Barbados;1
76;America/Belem;1
77;America/Belize;1
78;America/Blanc-Sablon;1
79;America/Boa_Vista;1
80;America/Bogota;1
81;America/Boise;1
82;America/Cambridge_Bay;1
83;America/Campo_Grande;1
84;America/Cancun;1
85;America/Caracas;1
86;America/Cayenne;1
87;America/Cayman;1
88;America/Chicago;1
89;America/Chihuahua;1
90;America/Costa_Rica;1
91;America/Creston;1
